Id;Station;Lon;Lat;Type Data;Année;M;J;DATA
287;ES SENIA;-0.625;35.75;SWGDN;1980;10;13;4302.5938
288;ES SENIA;-0.625;35.75;SWGDN;1980;10;14;5061.2344
289;ES SENIA;-0.625;35.75;SWGDN;1980;10;15;4211.4375
290;ES SENIA;-0.625;35.75;SWGDN;1980;10;16;3368.2324
291;ES SENIA;-0.625;35.75;SWGDN;1980;10;17;4160.3506
292;ES SENIA;-0.625;35.75;SWGDN;1980;10;18;4999.506
293;ES SENIA;-0.625;35.75;SWGDN;1980;10;19;4985.7207
294;ES SENIA;-0.625;35.75;SWGDN;1980;10;20;5027.926
295;ES SENIA;-0.625;35.75;SWGDN;1980;10;21;2818.3003
296;ES SENIA;-0.625;35.75;SWGDN;1980;10;22;4231.418
297;ES SENIA;-0.625;35.75;SWGDN;1980;10;23;4339.8555
298;ES SENIA;-0.625;35.75;SWGDN;1980;10;24;3580.3774
299;ES SENIA;-0.625;35.75;SWGDN;1980;10;25;4503.8574
300;ES SENIA;-0.625;35.75;SWGDN;1980;10;26;4539.872
301;ES SENIA;-0.625;35.75;SWGDN;1980;10;27;4382.8916
302;ES SENIA;-0.625;35.75;SWGDN;1980;10;28;4626.3555
303;ES SENIA;-0.625;35.75;SWGDN;1980;10;29;4564.326
304;ES SENIA;-0.625;35.75;SWGDN;1980;10;30;4498.8706
305;ES SENIA;-0.625;35.75;SWGDN;1980;10;31;3838.5356
306;ES SENIA;-0.625;35.75;SWGDN;1980;11;1;3109.3853
307;ES SENIA;-0.625;35.75;SWGDN;1980;11;2;3378.784
308;ES SENIA;-0.625;35.75;SWGDN;1980;11;3;1673.8425
309;ES SENIA;-0.625;35.75;SWGDN;1980;11;4;3667.6611
310;ES SENIA;-0.625;35.75;SWGDN;1980;11;5;3797.4438
311;ES SENIA;-0.625;35.75;SWGDN;1980;11;6;3798.6934
312;ES SENIA;-0.625;35.75;SWGDN;1980;11;7;3917.6042
313;ES SENIA;-0.625;35.75;SWGDN;1980;11;8;969.16455
314;ES SENIA;-0.625;35.75;SWGDN;1980;11;9;3362.0137
315;ES SENIA;-0.625;35.75;SWGDN;1980;11;10;2640.0388
316;ES SENIA;-0.625;35.75;SWGDN;1980;11;11;3329.8918
317;ES SENIA;-0.625;35.75;SWGDN;1980;11;12;892.05743
318;ES SENIA;-0.625;35.75;SWGDN;1980;11;13;2618.7966
319;ES SENIA;-0.625;35.75;SWGDN;1980;11;14;3572.087
320;ES SENIA;-0.625;35.75;SWGDN;1980;11;15;2956.205
321;ES SENIA;-0.625;35.75;SWGDN;1980;11;16;2261.7197
322;ES SENIA;-0.625;35.75;SWGDN;1980;11;17;2316.376
323;ES SENIA;-0.625;35.75;SWGDN;1980;11;18;3267.1772
324;ES SENIA;-0.625;35.75;SWGDN;1980;11;19;3564.2554
325;ES SENIA;-0.625;35.75;SWGDN;1980;11;20;3682.1274
326;ES SENIA;-0.625;35.75;SWGDN;1980;11;21;3523.0095
327;ES SENIA;-0.625;35.75;SWGDN;1980;11;22;3272.4346
328;ES SENIA;-0.625;35.75;SWGDN;1980;11;23;3405.642
329;ES SENIA;-0.625;35.75;SWGDN;1980;11;24;3164.6357
330;ES SENIA;-0.625;35.75;SWGDN;1980;11;25;2861.2236
331;ES SENIA;-0.625;35.75;SWGDN;1980;11;26;3057.0278
332;ES SENIA;-0.625;35.75;SWGDN;1980;11;27;3383.4922
333;ES SENIA;-0.625;35.75;SWGDN;1980;11;28;3497.2812
334;ES SENIA;-0.625;35.75;SWGDN;1980;11;29;3381.5703
335;ES SENIA;-0.625;35.75;SWGDN;1980;11;30;3373.8203
336;ES SENIA;-0.625;35.75;SWGDN;1980;12;1;1872.4004
337;ES SENIA;-0.625;35.75;SWGDN;1980;12;2;2311.9824
338;ES SENIA;-0.625;35.75;SWGDN;1980;12;3;2935.1836
339;ES SENIA;-0.625;35.75;SWGDN;1980;12;4;2888.4023
340;ES SENIA;-0.625;35.75;SWGDN;1980;12;5;3199.3594
341;ES SENIA;-0.625;35.75;SWGDN;1980;12;6;3157.8555
342;ES SENIA;-0.625;35.75;SWGDN;1980;12;7;2571.4297
343;ES SENIA;-0.625;35.75;SWGDN;1980;12;8;1967.5156
344;ES SENIA;-0.625;35.75;SWGDN;1980;12;9;1597.6602
345;ES SENIA;-0.625;35.75;SWGDN;1980;12;10;2572.4297
346;ES SENIA;-0.625;35.75;SWGDN;1980;12;11;2714.0781
347;ES SENIA;-0.625;35.75;SWGDN;1980;12;12;3004.004
348;ES SENIA;-0.625;35.75;SWGDN;1980;12;13;2537.5586
349;ES SENIA;-0.625;35.75;SWGDN;1980;12;14;3098.961
350;ES SENIA;-0.625;35.75;SWGDN;1980;12;15;3092.4297
351;ES SENIA;-0.625;35.75;SWGDN;1980;12;16;1862.9844
352;ES SENIA;-0.625;35.75;SWGDN;1980;12;17;1498.3301
353;ES SENIA;-0.625;35.75;SWGDN;1980;12;18;1614.8203
354;ES SENIA;-0.625;35.75;SWGDN;1980;12;19;2345.5898
355;ES SENIA;-0.625;35.75;SWGDN;1980;12;20;1498.9248
356;ES SENIA;-0.625;35.75;SWGDN;1980;12;21;2916.9258
357;ES SENIA;-0.625;35.75;SWGDN;1980;12;22;3035.6367
358;ES SENIA;-0.625;35.75;SWGDN;1980;12;23;3139.4102
359;ES SENIA;-0.625;35.75;SWGDN;1980;12;24;3182.6562
360;ES SENIA;-0.625;35.75;SWGDN;1980;12;25;3190.3438
361;ES SENIA;-0.625;35.75;SWGDN;1980;12;26;2220.5938
362;ES SENIA;-0.625;35.75;SWGDN;1980;12;27;2624.879
363;ES SENIA;-0.625;35.75;SWGDN;1980;12;28;428.14014
364;ES SENIA;-0.625;35.75;SWGDN;1980;12;29;1537.229
365;ES SENIA;-0.625;35.75;SWGDN;1980;12;30;887.5801
366;ES SENIA;-0.625;35.75;SWGDN;1980;12;31;1760.8789
367;ES SENIA;-0.625;35.75;SWGDN;1981;1;1;3088.1172
368;ES SENIA;-0.625;35.75;SWGDN;1981;1;2;3156.5938
369;ES SENIA;-0.625;35.75;SWGDN;1981;1;3;3249.789
370;ES SENIA;-0.625;35.75;SWGDN;1981;1;4;3300.9844
371;ES SENIA;-0.625;35.75;SWGDN;1981;1;5;2676.836
372;ES SENIA;-0.625;35.75;SWGDN;1981;1;6;2548.7559
373;ES SENIA;-0.625;35.75;SWGDN;1981;1;7;3360.8125
374;ES SENIA;-0.625;35.75;SWGDN;1981;1;8;3255.8164
375;ES SENIA;-0.625;35.75;SWGDN;1981;1;9;3363.711
376;ES SENIA;-0.625;35.75;SWGDN;1981;1;10;3408.3438
377;ES SENIA;-0.625;35.75;SWGDN;1981;1;11;2282.0225
378;ES SENIA;-0.625;35.75;SWGDN;1981;1;12;2326.6367
379;ES SENIA;-0.625;35.75;SWGDN;1981;1;13;841.9492
